sample	sex	age	age_group	social_rank	cd3tcells	bcells	nkcells	cd8tregulatory	cd4tcells	cd8tcells	cd4tregulatory	nonclass_monocytes	inter_monocytes	class_monocytes	batch
3M2	MALE	9.42	3	LOW	37.8	39	23.2	0.88	17.7	12.3	2.03	4.53	3.96	91.5	3
4D3	MALE	14.33	3	LOW	80	12.5	7.52	1.48	21.5	54.7	1.02	7.66	17	75.4	3
4M1	MALE	9.25	3	LOW	72.3	21.4	6.31	2.35	21.3	28.4	3.41	1.78	4.48	93.7	3
4M3	MALE	9.25	3	LOW	79.4	7.61	12.9	0.78	48.7	22.7	2.83	27.2	13.9	58.9	3
04N INF	FEMALE	0.5	1		45.4	50.7	3.92	0.76	24.6	9.88	2.06	2.19	1.55	96.3	3
04N	FEMALE	20.67	4	HIGH	67.3	27.4	5.29	0.84	32.7	29.2	7.35	3.86	3.43	92.7	3
04T	MALE	16.75	4	MEDIUM	64.9	4.37	30.7	0.81	32.1	28.3	3.42	14.8	32.6	52.6	3
04Z	MALE	15.5	4		41.5	34.1	24.4	0.5	17.1	20.7	3.04	11.4	7.18	81.4	3
5B2	MALE	15	4		70.6	14.5	14.9	0.72	23.8	39.9	4.45	1.62	2.42	96	3
5C0	FEMALE	13.75	3	HIGH	55.3	11.3	33.4	0.87	22.1	28.5	4.83	26	26.1	47.9	3
5.00E+04	MALE	13.08	3		52.7	21.6	25.7	0.3	19.6	29.4	1.26	13	4.01	83	3
5K3 INF	MALE	0.5	1		65.2	23	11.8	1.35	30.9	23	1.19	8.9	4.4	86.7	3
5K3	FEMALE	10.33	3	MEDIUM	62.3	31.8	5.94	0.88	30.3	19.3	3.23	1.04	0.15	98.8	3
5K8	MALE	10.33	3	MEDIUM	57.9	27.2	14.9	0.98	26.9	21.9	3.82	4.41	0.62	95	3
5P4	MALE	8	3		70.3	25.4	4.24	3.74	35.3	26	3.65	3.4	2.58	94	3
5R6	MALE	7.5	2	MEDIUM	52.2	32.7	15.2	0.95	30.9	15.6	4.57	1.67	1.25	97.1	3
6B8	FEMALE	15.25	4	MEDIUM	52.5	5.58	41.9	0.69	24.9	21.2	2.54	12.7	15.1	72.2	3
6C5	FEMALE	15.08	4	LOW	47.4	17.9	34.6	0.81	24.5	14.5	4.08	22	16	62	3
6C9	MALE	14.83	4	MEDIUM	53.5	10.6	35.9	0.58	18.1	33.3	2.71	19.2	18.5	62.3	3
6F0	MALE	13.25	3	LOW	59.8	25.4	14.7	1.24	31.2	21.5	5.08	5.34	0.9	93.8	3
