sample	sex	age	age_group	social_rank	cd3tcells	bcells	nkcells	cd8tregulatory	cd4tcells	cd8tcells	cd4tregulatory	nonclass_monocytes	inter_monocytes	class_monocytes	batch
AW4	FEMALE	2.33	1		35	64.8	0.17	0.14	24.7	8.4	2.1	6.07	2.41	91.5	2
8Z1	FEMALE	3.25	2		36.8	63.1	0.072	0.19	23.2	10.5	2.56	1.07	0.14	98.8	2
6Y7	FEMALE	3.33	2		35.3	63.8	0.95	0.14	21.6	11	1.6	0.7	5.88	93.4	2
7Z1	FEMALE	3.25	2		48.7	50.6	0.67	0.35	20.6	25	3.05	0.43	2.44	97.1	2
9Z3	FEMALE	4.33	2		24.4	75.5	0.085	0.041	17.5	5.35	1.33	0.93	0.19	98.9	2
AV8	MALE	2.33	1		24.4	74.8	0.82	0.14	13.6	8.82	0.91	7.12	4.07	88.8	2
AN7	FEMALE	2.25	1		37.8	61.5	0.71	0.16	22.3	13.3	1.12	6.59	2.42	91	2
AM6	MALE	2.25	1		24	75.9	0.079	0.062	17.3	4.89	0.96	1.48	0.082	98.4	2
AJ4	FEMALE	2.25	1		48.7	50.4	0.84	0.2	32.9	12.9	2.21	5.72	7.27	87	2
AX7	MALE	2.42	1		31.4	49.2	19.4	0.11	20.3	9.17	1.33	49.3	14	36.7	2
AN0	FEMALE	2.25	1		33.1	66.8	0.11	0.096	18.9	11.7	0.89	4.34	0.16	95.5	2
BR7	FEMALE	2.17	1		38.5	60.6	0.91	0.14	22.5	13.3	1.72	1.45	1.93	96.6	2
